,dropoutFn,nlayers,learningrate,nstart,layerForm,dR,activationFn,testAccuracy,valAccuracy
120,<function dropout at 0x7fa1df404a60>,32,10.0,256,cone,0.0,3,0.1473136842250824,0.14695339798927307
121,<function dropout at 0x7fa1df404a60>,32,10.0,256,cone,0.5,3,0.1473136842250824,0.14695339649915695
122,<function dropout at 0x7fa1df404a60>,32,10.0,512,cone,0.0,3,0.1473136842250824,0.1469534009695053
123,<function dropout at 0x7fa1df404a60>,32,10.0,512,cone,0.5,3,0.1473136842250824,0.1469534009695053
124,<function dropout at 0x7fa1df404a60>,32,10.0,1024,cone,0.0,3,0.1473136842250824,0.14695339500904084
125,<function dropout at 0x7fa1df404a60>,32,10.0,1024,cone,0.5,3,0.1473136842250824,0.1469534009695053
126,<function dropout at 0x7fa1df404a60>,32,1.0,256,cone,0.0,3,0.1473136842250824,0.14695339351892472
127,<function dropout at 0x7fa1df404a60>,32,1.0,256,cone,0.5,3,0.1473136842250824,0.14695339649915695
128,<function dropout at 0x7fa1df404a60>,32,1.0,512,cone,0.0,3,0.1473136842250824,0.14695340394973752
129,<function dropout at 0x7fa1df404a60>,32,1.0,512,cone,0.5,3,0.1473136842250824,0.1469534024596214
130,<function dropout at 0x7fa1df404a60>,32,1.0,1024,cone,0.0,3,0.1473136991262436,0.1469534009695053
131,<function dropout at 0x7fa1df404a60>,32,1.0,1024,cone,0.5,3,0.1473136842250824,0.14695339947938918
132,<function dropout at 0x7fa1df404a60>,32,0.1,256,cone,0.0,3,0.523396909236908,0.40143367648124695
133,<function dropout at 0x7fa1df404a60>,32,0.1,256,cone,0.5,3,0.1473136842250824,0.14695339798927307
134,<function dropout at 0x7fa1df404a60>,32,0.1,512,cone,0.0,3,0.3431542217731476,0.4792114585638047
135,<function dropout at 0x7fa1df404a60>,32,0.1,512,cone,0.5,3,0.1473136991262436,0.14695339500904084
136,<function dropout at 0x7fa1df404a60>,32,0.1,1024,cone,0.0,3,0.8128249049186707,0.5892472982406616
137,<function dropout at 0x7fa1df404a60>,32,0.1,1024,cone,0.5,3,0.1473136842250824,0.14695339649915695
138,<function dropout at 0x7fa1df404a60>,32,0.01,256,cone,0.0,3,0.9618718028068542,0.932974922657013
139,<function dropout at 0x7fa1df404a60>,32,0.01,256,cone,0.5,3,0.1473136842250824,0.14695339798927307
140,<function dropout at 0x7fa1df404a60>,32,0.01,512,cone,0.0,3,0.9636048674583435,0.9448028802871704
141,<function dropout at 0x7fa1df404a60>,32,0.01,512,cone,0.5,3,0.1473136842250824,0.14695339947938918
142,<function dropout at 0x7fa1df404a60>,32,0.01,1024,cone,0.0,3,0.9566723704338074,0.9387096881866456
143,<function dropout at 0x7fa1df404a60>,32,0.01,1024,cone,0.5,3,0.1473136842250824,0.14695339798927307
