,activationFn,valAccuracy,dropoutFn,nlayers,learningrate,layerForm,nstart,dR,testAccuracy
112,3,0.9999999999999999,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,1024,0.0,0.991631805896759
113,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,1024,0.5,0.6527196168899536
114,3,0.9624999761581421,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,256,0.0,0.9581589698791504
115,3,0.6287500023841859,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,256,0.5,0.6527196168899536
116,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,512,0.0,0.9832636117935181
117,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,512,0.5,0.6527196764945984
118,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,1024,0.0,0.9874476790428162
119,3,0.6337499856948853,<function dropout at 0x7fa1a9bd9a60>,16,0.01,cone,1024,0.5,0.6527196168899536
120,3,0.55,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,256,0.0,0.6527196168899536
121,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,256,0.5,0.3472803235054016
122,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,512,0.0,0.3472803235054016
123,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,512,0.5,0.3472803235054016
124,3,0.5750000000000001,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,1024,0.0,0.3472803235054016
125,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,32,10.0,cone,1024,0.5,0.3472803235054016
126,3,0.38874999880790706,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,256,0.0,0.3472803235054016
127,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,256,0.5,0.6527196764945984
128,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,512,0.0,0.6527196764945984
129,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,512,0.5,0.6527196168899536
130,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,1024,0.0,0.6527196764945984
131,3,0.475,<function dropout at 0x7fa1a9bd9a60>,32,1.0,cone,1024,0.5,0.6527196168899536
132,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,256,0.0,0.9874476790428162
133,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,256,0.5,0.6527196764945984
134,3,0.9737500190734862,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,512,0.0,0.9832636117935181
135,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,512,0.5,0.6527196764945984
136,3,0.9662500023841858,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,1024,0.0,0.9832636117935181
137,3,0.5499999999999999,<function dropout at 0x7fa1a9bd9a60>,32,0.1,cone,1024,0.5,0.6527196764945984
138,3,0.9562499821186066,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,256,0.0,0.9665271639823914
139,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,256,0.5,0.6527196168899536
140,3,0.9750000238418578,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,512,0.0,0.9790794849395752
141,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,512,0.5,0.6527196168899536
142,3,0.625,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,1024,0.0,0.6527196168899536
143,3,0.6262499988079071,<function dropout at 0x7fa1a9bd9a60>,32,0.01,cone,1024,0.5,0.6527196168899536
