,learningrate,testAccuracy,nlayers,dropoutFn,layerForm,activationFn,valAccuracy,nstart,dR
100,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
101,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
102,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
103,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
104,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
105,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
106,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
107,0.1,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
108,0.01,0.8461539149284363,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8500000000000001,256,0.0
109,0.01,0.8076923489570618,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8625000000000002,256,0.5
110,0.01,0.884615421295166,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8875000000000002,512,0.0
111,0.01,0.8076923489570618,2,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,512,0.5
112,0.01,0.8076923489570618,2,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,1024,0.0
113,0.01,0.8461539149284363,2,<function dropout at 0x7f99509d2a60>,rect,3,0.9999999999999999,1024,0.5
114,0.01,0.6923077702522278,3,<function dropout at 0x7f99509d2a60>,rect,3,0.925,256,0.0
115,0.01,0.8076923489570618,3,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,256,0.5
116,0.01,0.769230842590332,3,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
117,0.01,0.8461539149284363,3,<function dropout at 0x7f99509d2a60>,rect,3,0.775,512,0.5
118,0.01,0.8076923489570618,3,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,1024,0.0
119,0.01,0.769230842590332,3,<function dropout at 0x7f99509d2a60>,rect,3,0.8625,1024,0.5
120,0.01,0.8076924085617065,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
121,0.01,0.769230842590332,4,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,256,0.5
122,0.01,0.769230842590332,4,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
123,0.01,0.8461539149284363,4,<function dropout at 0x7f99509d2a60>,rect,3,0.8875000000000002,512,0.5
124,0.01,0.8461538553237915,4,<function dropout at 0x7f99509d2a60>,rect,3,0.7999999999999999,1024,0.0
125,0.01,0.8076923489570618,4,<function dropout at 0x7f99509d2a60>,rect,3,0.9500000000000001,1024,0.5
126,0.01,0.6153846383094788,8,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,256,0.0
127,0.01,0.769230842590332,8,<function dropout at 0x7f99509d2a60>,rect,3,0.8,256,0.5
128,0.01,0.692307710647583,8,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
129,0.01,0.769230842590332,8,<function dropout at 0x7f99509d2a60>,rect,3,0.7625,512,0.5
130,0.01,0.8461539149284363,8,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,1024,0.0
131,0.01,0.884615421295166,8,<function dropout at 0x7f99509d2a60>,rect,3,0.9624999999999999,1024,0.5
132,0.01,0.6538462042808533,16,<function dropout at 0x7f99509d2a60>,rect,3,0.8124999999999999,256,0.0
133,0.01,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
134,0.01,0.7307692766189575,16,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
135,0.01,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
136,0.01,0.8461538553237915,16,<function dropout at 0x7f99509d2a60>,rect,3,0.9999999999999999,1024,0.0
137,0.01,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
138,0.01,0.692307710647583,32,<function dropout at 0x7f99509d2a60>,rect,3,0.49999999999999994,256,0.0
139,0.01,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
140,0.01,0.8461538553237915,32,<function dropout at 0x7f99509d2a60>,rect,3,0.9999999999999999,512,0.0
141,0.01,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
142,0.01,0.692307710647583,32,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,1024,0.0
143,0.01,0.5,32,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
