,dropoutFn,dR,activationFn,nstart,testAccuracy,nlayers,valAccuracy,learningrate,layerForm
101,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,3,0.12144702672958375,1.0,cone
102,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9705545902252197,3,0.9913867354393006,0.1,cone
103,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9342480897903442,3,0.9681309163570403,0.01,cone
104,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,4,0.12144702672958375,10.0,cone
105,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,4,0.12144702672958375,1.0,cone
106,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9668381214141846,4,0.9888888835906984,0.1,cone
107,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9190965890884399,4,0.9579672634601595,0.01,cone
108,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,8,0.12144702672958375,10.0,cone
109,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,8,0.12144702672958375,1.0,cone
110,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.3885077238082886,8,0.3988802790641785,0.1,cone
111,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.5108633041381836,8,0.5372092932462692,0.01,cone
112,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,16,0.12144702672958375,10.0,cone
113,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,16,0.12144702672958375,1.0,cone
114,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,16,0.12144702672958375,0.1,cone
115,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.11749571561813354,16,0.10465116128325463,0.01,cone
116,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,32,0.12144702672958375,10.0,cone
117,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,32,0.12144702672958375,1.0,cone
118,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,32,0.12144702672958375,0.1,cone
119,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,32,0.12144702672958375,0.01,cone
120,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,2,0.12144702672958375,10.0,cone
121,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,2,0.12144702672958375,1.0,cone
122,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.9662663340568542,2,0.9906115412712099,0.1,cone
123,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.960834801197052,2,0.9859604060649871,0.01,cone
124,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,3,0.12144702672958375,10.0,cone
125,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.10377359390258789,3,0.12144702672958375,1.0,cone
126,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.9699827432632446,3,0.9948320269584655,0.1,cone
127,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.9536877870559692,3,0.9802756607532502,0.01,cone
128,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,4,0.12144702672958375,10.0,cone
129,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.10377359390258789,4,0.12144702672958375,1.0,cone
130,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.9691252112388611,4,0.9921619415283203,0.1,cone
131,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.943682074546814,4,0.971403980255127,0.01,cone
132,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,8,0.12144702672958375,10.0,cone
133,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,8,0.12144702672958375,1.0,cone
134,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.929388165473938,8,0.9773471355438232,0.1,cone
135,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.34705546498298645,8,0.3268734008073807,0.01,cone
136,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,16,0.12144702672958375,10.0,cone
137,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,16,0.12144702672958375,1.0,cone
138,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,16,0.12144702672958375,0.1,cone
139,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.06260720640420914,16,0.08389319814741612,0.01,cone
140,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,32,0.12144702672958375,10.0,cone
141,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,32,0.12144702672958375,1.0,cone
142,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735790014267,32,0.12144702672958375,0.1,cone
143,<function dropout at 0x7f2283f34a60>,0.5,3,1024,0.1037735864520073,32,0.12144702672958375,0.01,cone
