,dR,nstart,learningrate,valAccuracy,activationFn,dropoutFn,nlayers,layerForm,testAccuracy
127,0.5,1024,1.0,0.03076923191547394,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.4193548262119293
128,0.5,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
129,0.5,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
130,0.5,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
131,0.5,1024,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
132,0.5,1024,0.1,0.2692307859659195,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4193548262119293
133,0.5,1024,0.1,0.2538461662828922,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.32258063554763794
134,0.5,1024,0.1,0.3076923191547393,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4193548262119293
135,0.5,1024,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
136,0.5,1024,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
137,0.5,1024,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
138,0.5,1024,0.01,0.3538461804389953,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4516128897666931
139,0.5,1024,0.01,0.20769231989979745,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.5161290168762207
140,0.5,1024,0.01,0.2076923206448555,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.32258063554763794
141,0.5,1024,0.01,0.4384615629911422,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.5483870506286621
142,0.5,1024,0.01,0.4461538761854171,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.29032257199287415
143,0.5,1024,0.01,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
