,nstart,nlayers,layerForm,valAccuracy,activationFn,dropoutFn,testAccuracy,learningrate,dR
93,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
94,512,32,rect,0.909999990463257,3,<function dropout at 0x7fe539533a60>,0.9199999570846558,0.01,0.0
95,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
96,1024,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
97,1024,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
98,1024,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
99,1024,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
100,1024,2,rect,0.8699999988079071,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.0
101,1024,2,rect,0.880000001192093,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.5
102,1024,2,rect,0.9399999916553498,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
103,1024,2,rect,0.9199999868869783,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.5
104,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
105,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
106,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
107,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
108,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.1,0.0
109,1024,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
110,1024,3,rect,0.9399999916553498,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
111,1024,3,rect,0.9299999833106996,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.5
112,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
113,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
114,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
115,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
116,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
117,1024,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
118,1024,4,rect,0.9400000035762788,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
119,1024,4,rect,0.8000000000000002,3,<function dropout at 0x7fe539533a60>,0.7199999690055847,0.01,0.5
120,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
121,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
122,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
123,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
124,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
125,1024,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
126,1024,8,rect,0.9699999928474426,3,<function dropout at 0x7fe539533a60>,0.7199999690055847,0.01,0.0
127,1024,8,rect,0.7100000023841858,3,<function dropout at 0x7fe539533a60>,0.6000000238418579,0.01,0.5
128,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
129,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
130,1024,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
