,nstart,testAccuracy,layerForm,dropoutFn,activationFn,learningrate,nlayers,dR,valAccuracy
124,1024,0.976756751537323,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,4,0.0,0.9804265618324282
125,1024,0.9767568111419678,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,4,0.5,0.9797992408275605
126,1024,0.9735135436058044,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,8,0.0,0.9774152755737305
127,1024,0.977297306060791,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,8,0.5,0.9779171466827393
128,1024,0.9691892862319946,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,16,0.0,0.9760351300239564
129,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,16,0.5,0.5144290924072266
130,1024,0.9767568707466125,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,32,0.0,0.9776662230491637
131,1024,0.4789189100265503,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,32,0.5,0.5116687566041946
132,1024,0.9800000786781311,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,2,0.0,0.9799246966838838
133,1024,0.9767568707466125,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,2,0.5,0.9786700010299685
134,1024,0.9810811281204224,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,3,0.0,0.9786700010299684
135,1024,0.9762162566184998,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,3,0.5,0.9799246788024905
136,1024,0.9767568111419678,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,4,0.0,0.9811793684959413
137,1024,0.9762163162231445,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,4,0.5,0.9786699950695039
138,1024,0.9767568111419678,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,8,0.0,0.9792973399162295
139,1024,0.9751352071762085,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,8,0.5,0.9803011000156404
140,1024,0.9794594645500183,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,16,0.0,0.976787954568863
141,1024,0.5313513278961182,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,16,0.5,0.5203262209892273
142,1024,0.9745946526527405,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,32,0.0,0.9691342234611513
143,1024,0.7383784055709839,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,32,0.5,0.7780426502227783
