,dropoutFn,testAccuracy,activationFn,valAccuracy,layerForm,nlayers,learningrate,dR,nstart
77,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.5,1024
78,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.0,256
79,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.0,512
80,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.0,1024
81,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.5,256
82,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.5,512
83,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,1.0,0.5,1024
84,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9395348548889162,rect,8,0.1,0.0,256
85,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9317829132080079,rect,8,0.1,0.0,512
86,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.021705427393317225,rect,8,0.1,0.0,1024
87,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.7441860437393188,rect,8,0.1,0.5,256
88,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8162790954113006,rect,8,0.1,0.5,512
89,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,0.1,0.5,1024
90,<function dropout at 0x7f5ae6e12a60>,0.41999998688697815,3,0.9395348548889162,rect,8,0.01,0.0,256
91,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9302325248718261,rect,8,0.01,0.0,512
92,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9356588840484619,rect,8,0.01,0.0,1024
93,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.7744186222553254,rect,8,0.01,0.5,256
94,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.5201550543308258,rect,8,0.01,0.5,512
95,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.5232558190822602,rect,8,0.01,0.5,1024
96,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.0,256
97,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.0,512
98,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.0,1024
99,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.5,256
100,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.5,512
101,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,10.0,0.5,1024
102,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.0,256
103,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.0,512
104,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.0,1024
105,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.5,256
106,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.5,512
107,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,1.0,0.5,1024
108,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,16,0.1,0.0,256
109,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.07906976602971554,rect,16,0.1,0.0,512
110,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,0.1,0.0,1024
111,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,0.1,0.5,256
112,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,0.1,0.5,512
113,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,16,0.1,0.5,1024
114,<function dropout at 0x7f5ae6e12a60>,0.5799999833106995,3,0.9395348548889161,rect,16,0.01,0.0,256
115,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9379844665527345,rect,16,0.01,0.0,512
116,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.939534854888916,rect,16,0.01,0.0,1024
117,<function dropout at 0x7f5ae6e12a60>,0.7400000095367432,3,0.6279069483280182,rect,16,0.01,0.5,256
118,<function dropout at 0x7f5ae6e12a60>,0.05999999865889549,3,0.051162791252136235,rect,16,0.01,0.5,512
119,<function dropout at 0x7f5ae6e12a60>,0.2199999839067459,3,0.754263573884964,rect,16,0.01,0.5,1024
120,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.0,256
121,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.0,512
122,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.0,1024
123,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.5,256
124,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.5,512
125,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,10.0,0.5,1024
126,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.0,256
127,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.0,512
128,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.0,1024
129,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.5,256
130,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.5,512
131,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,1.0,0.5,1024
132,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,32,0.1,0.0,256
133,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.1,0.0,512
134,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.1,0.0,1024
135,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.1,0.5,256
136,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.1,0.5,512
137,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.1,0.5,1024
138,<function dropout at 0x7f5ae6e12a60>,0.4099999666213989,3,0.9348836898803711,rect,32,0.01,0.0,256
139,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.948837184906006,rect,32,0.01,0.0,512
140,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.948837184906006,rect,32,0.01,0.0,1024
141,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.01,0.5,256
142,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.01,0.5,512
143,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,32,0.01,0.5,1024
