,dR,valAccuracy,nlayers,layerForm,testAccuracy,dropoutFn,learningrate,nstart,activationFn
129,0.5,0.5839999496936799,16,rect,0.5350877642631531,<function dropout at 0x7f41091aca60>,0.01,256,3
130,0.5,0.5709999561309815,16,rect,0.609649121761322,<function dropout at 0x7f41091aca60>,0.01,512,3
131,0.5,0.4219999879598617,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.01,1024,3
132,0.5,0.41999999880790706,32,rect,0.4210526645183563,<function dropout at 0x7f41091aca60>,10.0,256,3
133,0.5,0.4199999868869781,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,512,3
134,0.5,0.4199999928474426,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,1024,3
135,0.5,0.4199999928474426,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
136,0.5,0.4199999898672103,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,512,3
137,0.5,0.4200000017881393,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,1024,3
138,0.5,0.41999999880790706,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,256,3
139,0.5,0.4199999868869781,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
140,0.5,0.4200000017881393,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,1024,3
141,0.5,0.4199999958276748,32,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,0.01,256,3
142,0.5,0.4200000017881393,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.01,512,3
143,0.5,0.41999999880790706,32,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.01,1024,3
