,layerForm,activationFn,valAccuracy,nlayers,testAccuracy,nstart,dR,dropoutFn,learningrate
111,cone,3,0.4888889193534851,16,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,0.01
112,cone,3,0.4888889193534851,16,0.42934784293174744,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
113,cone,3,0.38611114025115967,16,0.34510868787765503,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
114,cone,3,0.5583333849906922,16,0.4891304671764374,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
115,cone,3,0.5694444596767426,16,0.4673912823200226,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
116,cone,3,0.4888889193534851,16,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
117,cone,3,0.4888889193534851,16,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
118,cone,3,0.4888889193534851,16,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
119,cone,3,0.49000002741813664,16,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
120,cone,3,0.4888889193534851,32,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,10.0
121,cone,3,0.4372222512960434,32,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,1.0
122,cone,3,0.53055559694767,32,0.508152186870575,256,0.0,<function dropout at 0x7f805b732a60>,0.1
123,cone,3,0.547222238779068,32,0.448369562625885,256,0.0,<function dropout at 0x7f805b732a60>,0.01
124,cone,3,0.4888889193534851,32,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,10.0
125,cone,3,0.4888889193534851,32,0.4293478727340698,256,0.5,<function dropout at 0x7f805b732a60>,1.0
126,cone,3,0.4888889193534851,32,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,0.1
127,cone,3,0.4888889193534851,32,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,0.01
128,cone,3,0.28333336114883423,32,0.34510868787765503,512,0.0,<function dropout at 0x7f805b732a60>,10.0
129,cone,3,0.42722225189208984,32,0.4293478727340698,512,0.0,<function dropout at 0x7f805b732a60>,1.0
130,cone,3,0.5072222501039505,32,0.4320652186870575,512,0.0,<function dropout at 0x7f805b732a60>,0.1
131,cone,3,0.5277778089046479,32,0.4646739065647125,512,0.0,<function dropout at 0x7f805b732a60>,0.01
132,cone,3,0.4888889193534851,32,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,10.0
133,cone,3,0.4888889193534851,32,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,1.0
134,cone,3,0.4888889193534851,32,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,0.1
135,cone,3,0.3011111319065094,32,0.34510868787765503,512,0.5,<function dropout at 0x7f805b732a60>,0.01
136,cone,3,0.4888889193534851,32,0.42934784293174744,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
137,cone,3,0.4888889193534851,32,0.42934784293174744,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
138,cone,3,0.5344444751739502,32,0.508152186870575,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
139,cone,3,0.5027777940034867,32,0.4646739363670349,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
140,cone,3,0.4888889193534851,32,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
141,cone,3,0.4888889193534851,32,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
142,cone,3,0.4888889193534851,32,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
143,cone,3,0.28444446921348576,32,0.34510868787765503,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
