,dropoutFn,dR,testAccuracy,nstart,learningrate,activationFn,nlayers,valAccuracy,layerForm
117,<function dropout at 0x7f61731caa60>,0.5,0.8177083730697632,512,0.01,3,8,0.7772151947021485,rect
118,<function dropout at 0x7f61731caa60>,0.5,0.5,512,0.01,3,16,0.5316455960273743,rect
119,<function dropout at 0x7f61731caa60>,0.5,0.5,512,0.01,3,32,0.5316455960273743,rect
120,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,2,0.5316455960273743,rect
121,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,3,0.5316455960273743,rect
122,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,4,0.5316455960273743,rect
123,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,8,0.5316455960273743,rect
124,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,16,0.5316455960273743,rect
125,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,10.0,3,32,0.5316455960273743,rect
126,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,2,0.5316455960273743,rect
127,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,3,0.5316455960273743,rect
128,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,4,0.5316455960273743,rect
129,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,8,0.5316455960273743,rect
130,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,16,0.5316455960273743,rect
131,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,1.0,3,32,0.5316455960273743,rect
132,<function dropout at 0x7f61731caa60>,0.5,0.7812501192092896,1024,0.1,3,2,0.7987341940402986,rect
133,<function dropout at 0x7f61731caa60>,0.5,0.859375,1024,0.1,3,3,0.8164557099342348,rect
134,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.1,3,4,0.5518987596035003,rect
135,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.1,3,8,0.5316455960273743,rect
136,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.1,3,16,0.5316455960273743,rect
137,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.1,3,32,0.5316455960273743,rect
138,<function dropout at 0x7f61731caa60>,0.5,0.8437500596046448,1024,0.01,3,2,0.8341771960258486,rect
139,<function dropout at 0x7f61731caa60>,0.5,0.8281250596046448,1024,0.01,3,3,0.8278480768203736,rect
140,<function dropout at 0x7f61731caa60>,0.5,0.8645833730697632,1024,0.01,3,4,0.8215189695358277,rect
141,<function dropout at 0x7f61731caa60>,0.5,0.8541667461395264,1024,0.01,3,8,0.8227847993373874,rect
142,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.01,3,16,0.5316455960273743,rect
143,<function dropout at 0x7f61731caa60>,0.5,0.5,1024,0.01,3,32,0.5316455960273743,rect
