,dropoutFn,nstart,valAccuracy,learningrate,layerForm,nlayers,activationFn,dR,testAccuracy
100,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,4,3,0.0,0.009999999776482582
101,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,4,3,0.5,0.009999999776482582
102,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,8,3,0.0,0.009999999776482582
103,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,8,3,0.5,0.009999999776482582
104,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,16,3,0.0,0.009999999776482582
105,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,16,3,0.5,0.009999999776482582
106,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,32,3,0.0,0.009999999776482582
107,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,32,3,0.5,0.009999999776482582
108,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,2,3,0.0,0.0
109,<function dropout at 0x7fab5d204a60>,1024,0.0005494505632668734,1.0,cone,2,3,0.5,0.009999999776482582
110,<function dropout at 0x7fab5d204a60>,1024,0.0010989011265337468,1.0,cone,3,3,0.0,0.009999999776482582
111,<function dropout at 0x7fab5d204a60>,1024,0.0010989011265337468,1.0,cone,3,3,0.5,0.009999999776482582
112,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,4,3,0.0,0.009999999776482582
113,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,4,3,0.5,0.009999999776482582
114,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,8,3,0.0,0.009999999776482582
115,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,8,3,0.5,0.009999999776482582
116,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,16,3,0.0,0.009999999776482582
117,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,16,3,0.5,0.009999999776482582
118,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,32,3,0.0,0.009999999776482582
119,<function dropout at 0x7fab5d204a60>,1024,0.0,1.0,cone,32,3,0.5,0.009999999776482582
120,<function dropout at 0x7fab5d204a60>,1024,0.7956044256687164,0.1,cone,2,3,0.0,0.8199999332427979
121,<function dropout at 0x7fab5d204a60>,1024,0.8120879650115966,0.1,cone,2,3,0.5,0.8149999380111694
122,<function dropout at 0x7fab5d204a60>,1024,0.8285714507102966,0.1,cone,3,3,0.0,0.8199999332427979
123,<function dropout at 0x7fab5d204a60>,1024,0.83021981716156,0.1,cone,3,3,0.5,0.8299999237060547
124,<function dropout at 0x7fab5d204a60>,1024,0.8038461863994598,0.1,cone,4,3,0.0,0.8174999952316284
125,<function dropout at 0x7fab5d204a60>,1024,0.7769231140613555,0.1,cone,4,3,0.5,0.7975000143051147
126,<function dropout at 0x7fab5d204a60>,1024,0.7912088096141815,0.1,cone,8,3,0.0,0.8274999856948853
127,<function dropout at 0x7fab5d204a60>,1024,0.005494505632668734,0.1,cone,8,3,0.5,0.009999999776482582
128,<function dropout at 0x7fab5d204a60>,1024,0.7835165321826936,0.1,cone,16,3,0.0,0.8075000047683716
