,layerForm,dropoutFn,nlayers,dR,learningrate,activationFn,nstart,testAccuracy,valAccuracy
84,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,10.0,3,256,0.49339932203292847,0.48351654410362255
85,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,10.0,3,512,0.49339932203292847,0.48351654410362255
86,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
87,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,1.0,3,256,0.49339932203292847,0.48351654410362255
88,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
89,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,1.0,3,1024,0.49339932203292847,0.48351654410362255
90,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.1,3,256,0.4801980257034302,0.5109890490770339
91,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.1,3,512,0.49339932203292847,0.48351654410362255
92,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.1,3,1024,0.49339932203292847,0.48351654410362255
93,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.01,3,256,0.4801980257034302,0.506593456864357
94,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.01,3,512,0.528052806854248,0.4879121333360672
95,rect,<function dropout at 0x7fe45d1dfa60>,8,0.5,0.01,3,1024,0.48349836468696594,0.5010989308357239
96,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,10.0,3,256,0.49339932203292847,0.48351654410362255
97,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,10.0,3,512,0.49339932203292847,0.48351654410362255
98,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,10.0,3,1024,0.49339932203292847,0.48351654410362255
99,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,1.0,3,256,0.49339932203292847,0.48351654410362255
100,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,1.0,3,512,0.49339938163757324,0.48351654410362255
101,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,1.0,3,1024,0.49339932203292847,0.48351654410362255
102,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.1,3,256,0.49339932203292847,0.48351654410362255
103,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.1,3,512,0.49339932203292847,0.48351654410362255
104,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.1,3,1024,0.49339932203292847,0.48351654410362255
105,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.01,3,256,0.48349836468696594,0.5505494773387908
106,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.01,3,512,0.49339932203292847,0.526373654603958
107,rect,<function dropout at 0x7fe45d1dfa60>,16,0.0,0.01,3,1024,0.5049505233764648,0.5340659618377684
108,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,10.0,3,256,0.49339932203292847,0.48351654410362255
109,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,10.0,3,512,0.49339932203292847,0.48351654410362255
110,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
111,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,1.0,3,256,0.49339932203292847,0.48351654410362255
112,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
113,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,1.0,3,1024,0.49339932203292847,0.48351654410362255
114,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.1,3,256,0.49339932203292847,0.48351654410362255
115,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.1,3,512,0.49339932203292847,0.48351654410362255
116,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.1,3,1024,0.49339932203292847,0.48351654410362255
117,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.01,3,256,0.5181518793106079,0.5087912380695342
118,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.01,3,512,0.5066006779670715,0.5208791494369506
119,rect,<function dropout at 0x7fe45d1dfa60>,16,0.5,0.01,3,1024,0.49339932203292847,0.48351654410362255
120,rect,<function dropout at 0x7fe45d1dfa60>,32,0.0,10.0,3,256,0.49339932203292847,0.48351654410362255
