,learningrate,valAccuracy,nstart,dropoutFn,layerForm,activationFn,testAccuracy,nlayers,dR
113,0.01,0.6315789520740509,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.6620370745658875,4,0.5
114,0.01,0.8947368800640108,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7615740895271301,8,0.0
115,0.01,0.5842105269432069,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5486111044883728,8,0.5
116,0.01,0.9157895088195802,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.703703761100769,16,0.0
117,0.01,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
118,0.01,0.9473684430122375,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7800925970077515,32,0.0
119,0.01,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
120,0.01,0.8631579160690307,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7361111640930176,2,0.0
121,0.01,0.7315789461135865,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.6898148655891418,2,0.5
122,0.01,0.8578947663307189,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7384259700775146,3,0.0
123,0.01,0.7105263173580171,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.6898148059844971,3,0.5
124,0.01,0.8736842393875123,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7199074029922485,4,0.0
125,0.01,0.7105263173580171,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.680555522441864,4,0.5
126,0.01,0.9421052873134613,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7638888955116272,8,0.0
127,0.01,0.5947368502616883,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.6435185074806213,8,0.5
128,0.01,0.9999999999999999,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7824074029922485,16,0.0
129,0.01,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
130,0.01,0.9473684430122375,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7847223281860352,32,0.0
131,0.01,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
132,0.01,0.8210526525974273,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7337962985038757,2,0.0
133,0.01,0.7368420958518983,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.6805555820465088,2,0.5
134,0.01,0.8736842453479767,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7731481194496155,3,0.0
135,0.01,0.7368421018123628,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7222222685813904,3,0.5
136,0.01,0.8947368621826172,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7638888955116272,4,0.0
137,0.01,0.699999988079071,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.6643518805503845,4,0.5
138,0.01,0.9263158202171327,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7615740299224854,8,0.0
139,0.01,0.6368421137332917,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.6527777910232544,8,0.5
140,0.01,0.9473684430122375,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.8402777910232544,16,0.0
141,0.01,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
142,0.01,0.9473684430122375,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7476851940155029,32,0.0
143,0.01,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
