,layerForm,nstart,nlayers,dR,dropoutFn,learningrate,valAccuracy,testAccuracy,activationFn
61,rect,512,3,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
62,rect,512,3,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9129900217056274,0.9084765911102295,3
63,rect,512,3,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8891628980636597,0.8918693661689758,3
64,rect,512,4,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
65,rect,512,4,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
66,rect,512,4,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.923531860113144,0.9254837036132812,3
67,rect,512,4,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9247321128845216,0.9244687557220459,3
68,rect,512,4,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
69,rect,512,4,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
70,rect,512,4,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
71,rect,512,4,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8913645207881928,0.892453670501709,3
72,rect,512,8,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
73,rect,512,8,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
74,rect,512,8,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9260147094726563,0.9279133081436157,3
75,rect,512,8,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.930383688211441,0.9324955344200134,3
76,rect,512,8,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
77,rect,512,8,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
78,rect,512,8,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
79,rect,512,8,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8923453152179718,0.893314778804779,3
80,rect,512,16,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
81,rect,512,16,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
82,rect,512,16,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
83,rect,512,16,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9245949268341064,0.9268676042556763,3
84,rect,512,16,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060027956962585,3
85,rect,512,16,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
86,rect,512,16,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
87,rect,512,16,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.7194305598735808,0.7194002270698547,3
88,rect,512,32,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
89,rect,512,32,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
90,rect,512,32,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060027956962585,3
91,rect,512,32,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9136072516441346,0.914965808391571,3
92,rect,512,32,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
93,rect,512,32,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
94,rect,512,32,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
95,rect,512,32,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.2806585133075714,0.28060024976730347,3
96,rect,1024,2,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
97,rect,1024,2,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
98,rect,1024,2,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9237033009529114,0.9254837036132812,3
99,rect,1024,2,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9191765546798706,0.9203784465789795,3
100,rect,1024,2,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
101,rect,1024,2,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
102,rect,1024,2,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9117005586624145,0.9112138152122498,3
103,rect,1024,2,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.892125827074051,0.8927612900733948,3
104,rect,1024,3,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
105,rect,1024,3,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
106,rect,1024,3,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9308020412921904,0.9256067276000977,3
107,rect,1024,3,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9220777809619903,0.9133973121643066,3
108,rect,1024,3,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
109,rect,1024,3,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
110,rect,1024,3,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9170366644859314,0.919148325920105,3
111,rect,1024,3,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8941079795360567,0.8950063586235046,3
112,rect,1024,4,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
113,rect,1024,4,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
114,rect,1024,4,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9290462255477907,0.9270828366279602,3
115,rect,1024,4,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9248692870140076,0.9236999750137329,3
116,rect,1024,4,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060027956962585,3
117,rect,1024,4,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060027956962585,3
118,rect,1024,4,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
119,rect,1024,4,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8947458565235138,0.8954983949661255,3
120,rect,1024,8,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
121,rect,1024,8,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060027956962585,3
122,rect,1024,8,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060027956962585,3
123,rect,1024,8,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9308911919593812,0.9302813410758972,3
124,rect,1024,8,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
125,rect,1024,8,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
126,rect,1024,8,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060027956962585,3
127,rect,1024,8,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8940805554389953,0.8958059549331665,3
