,nlayers,layerForm,dR,valAccuracy,testAccuracy,activationFn,nstart,learningrate,dropoutFn
121,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
122,32,cone,0.0,0.3269230931997299,0.11999999731779099,3,256,0.1,<function dropout at 0x7fbea79b5a60>
123,32,cone,0.0,0.6192308485507965,0.47999998927116394,3,256,0.01,<function dropout at 0x7fbea79b5a60>
124,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
125,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
126,32,cone,0.0,0.36153847873210904,0.07999999821186066,3,512,0.1,<function dropout at 0x7fbea79b5a60>
127,32,cone,0.0,0.5576923489570619,0.6799999475479126,3,512,0.01,<function dropout at 0x7fbea79b5a60>
128,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
129,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
130,32,cone,0.0,0.3269231006503105,0.4399999976158142,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
131,32,cone,0.0,0.5923077583312989,0.6399999856948853,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
132,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
133,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
134,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,0.1,<function dropout at 0x7fbea79b5a60>
135,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,0.01,<function dropout at 0x7fbea79b5a60>
136,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
137,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
138,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,0.1,<function dropout at 0x7fbea79b5a60>
139,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,0.01,<function dropout at 0x7fbea79b5a60>
140,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
141,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
142,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
143,32,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
