,layerForm,learningrate,nlayers,activationFn,dropoutFn,nstart,dR,testAccuracy,valAccuracy
99,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
100,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.4299363195896149
101,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
102,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.42993631362915047
103,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.42993631362915047
104,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363166093827
105,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363166093827
106,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.4046921133995056,0.4299363166093827
107,rect,0.1,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
108,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.8717009425163269,0.8622611403465271
109,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.7653958797454834,0.7445860087871551
110,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.8870968222618103,0.8832802653312684
111,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.7734604477882385,0.7558917105197906
112,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.8973607420921326,0.8926751613616943
113,rect,0.01,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.7925220131874084,0.782961791753769
114,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9054252505302429,0.8858280539512635
115,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.6517595052719116,0.6321656286716462
116,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9017595648765564,0.88757963180542
117,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.6942815184593201,0.6641719877719878
118,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9149560332298279,0.8902866542339325
119,rect,0.01,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.7287390232086182,0.7167197644710541
120,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9061583876609802,0.8880573451519014
121,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.6004398465156555,0.6055732727050781
122,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9039589762687683,0.892515927553177
123,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.7126100063323975,0.6773885548114777
124,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9149560332298279,0.8931528806686401
125,rect,0.01,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.7265396118164062,0.7006369471549988
126,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9090909361839294,0.8961783647537231
127,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.4640762209892273,0.5452229380607605
128,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9098240733146667,0.9055732786655427
129,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.41348975896835327,0.44363057315349574
130,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.8973606824874878,0.9007961869239808
131,rect,0.01,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.7008797526359558,0.6695860147476197
132,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.8980938792228699,0.8944267630577087
133,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.3826979398727417,0.4256369411945343
134,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9024927020072937,0.8969745457172393
135,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.42008793354034424,0.4175159245729446
136,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9142228960990906,0.8982484221458436
137,rect,0.01,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40909087657928467,0.4506369501352311
138,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9010264277458191,0.8933120965957642
139,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363195896149
140,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.8973607420921326,0.8855095565319062
141,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.4046921133995056,0.4299363195896149
142,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9068915247917175,0.9065287053585054
143,rect,0.01,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
