,nlayers,layerForm,dropoutFn,dR,valAccuracy,nstart,learningrate,activationFn,testAccuracy
124,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,10.0,3,0.09090908616781235
125,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,1.0,3,0.09090908616781235
126,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.2977272778749466,512,0.1,3,0.35930731892585754
127,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9579545855522155,512,0.01,3,0.9891774654388428
128,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,10.0,3,0.09090908616781235
129,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,1.0,3,0.09090908616781235
130,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.31704546213150026,1024,0.1,3,0.3008657693862915
131,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,1024,0.01,3,0.9956709146499634
132,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,10.0,3,0.09090908616781235
133,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,1.0,3,0.09090908616781235
134,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,0.1,3,0.09090908616781235
135,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,0.01,3,0.09090909361839294
136,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,10.0,3,0.09090908616781235
137,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,1.0,3,0.09090908616781235
138,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,0.1,3,0.09090908616781235
139,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,0.01,3,0.09090908616781235
140,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,10.0,3,0.09090909361839294
141,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,1.0,3,0.09090909361839294
142,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,0.1,3,0.09090908616781235
143,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,0.01,3,0.09090908616781235
