,activationFn,nlayers,layerForm,learningrate,dropoutFn,valAccuracy,dR,nstart,testAccuracy
78,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
79,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
80,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
81,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
82,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
83,3,8,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
84,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5900000303983689,0.0,256,0.6818182468414307
85,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
86,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
87,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
88,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
89,3,8,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
90,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5500000149011612,0.0,256,0.6363636255264282
91,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6100000262260438,0.0,512,0.6363636255264282
92,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6300000309944153,0.0,1024,0.6818181872367859
93,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6800000429153442,0.5,256,0.5909091234207153
94,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.610000029206276,0.5,512,0.7272727489471436
95,3,8,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.49000003039836887,0.5,1024,0.27272728085517883
96,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
97,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
98,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
99,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
100,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
101,3,16,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
