,dR,nstart,valAccuracy,dropoutFn,learningrate,layerForm,activationFn,nlayers,testAccuracy
78,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672331809998
79,0.5,256,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672927856445
80,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672331809998
81,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672331809998
82,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672927856445
83,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
84,0.5,256,0.9833554923534394,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9866585731506348
85,0.5,256,0.9617842495441438,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9599757790565491
86,0.5,256,0.9528628170490264,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9533049464225769
87,0.5,256,0.9709719836711885,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.9812006950378418
88,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672331809998
89,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672927856445
90,0.5,256,0.9371504187583923,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9442086219787598
91,0.5,256,0.9103860735893249,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.9163128733634949
92,0.5,256,0.9042609632015227,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.9047908186912537
93,0.5,256,0.7536617577075958,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.6161310076713562
94,0.5,256,0.8398135483264924,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.8453608155250549
95,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.8459672331809998
96,0.5,512,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672331809998
97,0.5,512,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672331809998
98,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672331809998
99,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672927856445
100,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672331809998
101,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672927856445
102,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672331809998
103,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672331809998
104,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672331809998
105,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672331809998
106,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672331809998
107,0.5,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
108,0.5,512,0.9857522904872894,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9872649908065796
109,0.5,512,0.9739014208316805,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9775621891021729
110,0.5,512,0.9557922542095184,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9460278749465942
