,learningrate,dR,nlayers,layerForm,nstart,dropoutFn,activationFn,valAccuracy,testAccuracy
120,0.01,0.0,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8202703237533571,0.8021390438079834
121,0.01,0.0,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.820270359516144,0.7967913746833801
122,0.01,0.0,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8067568063735963,0.7540106773376465
123,0.01,0.0,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8229730367660522,0.7807486057281494
124,0.01,0.0,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8175676345825197,0.7540106773376465
125,0.01,0.0,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8121622264385223,0.7379679083824158
126,0.01,0.5,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.7945946455001832,0.7754010558128357
127,0.01,0.5,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8500000357627868,0.7700534462928772
128,0.01,0.5,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.828378450870514,0.7540106773376465
129,0.01,0.5,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8418919563293457,0.748663067817688
130,0.01,0.5,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8229729890823365,0.770053505897522
131,0.01,0.5,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8175675868988038,0.7593582272529602
132,0.01,0.5,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.7918919205665589,0.6737968325614929
133,0.01,0.5,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.7824324488639832,0.737967848777771
134,0.01,0.5,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7959460020065308,0.7272727489471436
135,0.01,0.5,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.774324369430542,0.7433154582977295
136,0.01,0.5,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.7270270466804505,0.6310160160064697
137,0.01,0.5,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7216216564178466,0.5989304780960083
138,0.01,0.5,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8013513803482057,0.7272726893424988
139,0.01,0.5,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.7743243575096129,0.6791443228721619
140,0.01,0.5,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.51081081032753,0.3903743326663971
141,0.01,0.5,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
142,0.01,0.5,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
143,0.01,0.5,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
