,valAccuracy,dR,activationFn,dropoutFn,nlayers,nstart,layerForm,learningrate,testAccuracy
134,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,32,256,rect,0.1,0.47684603929519653
135,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,32,256,rect,0.01,0.47684603929519653
136,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,512,rect,10.0,0.47684603929519653
137,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,512,rect,1.0,0.47684603929519653
138,0.46438745856285096,0.5,3,<function dropout at 0x7f1491984a60>,32,512,rect,0.1,0.47684603929519653
139,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,512,rect,0.01,0.47684603929519653
140,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,32,1024,rect,10.0,0.47684603929519653
141,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,1024,rect,1.0,0.47684603929519653
142,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,1024,rect,0.1,0.47684603929519653
143,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,1024,rect,0.01,0.47684603929519653
