,dropoutFn,learningrate,layerForm,testAccuracy,nstart,valAccuracy,dR,nlayers,activationFn
108,<function dropout at 0x7ff43089da60>,0.01,rect,0.7887323498725891,256,0.6580644845962524,0.0,2,3
109,<function dropout at 0x7ff43089da60>,0.01,rect,0.6619718074798584,256,0.6290322542190552,0.0,3,3
110,<function dropout at 0x7ff43089da60>,0.01,rect,0.7323943376541138,256,0.6129032075405122,0.0,4,3
111,<function dropout at 0x7ff43089da60>,0.01,rect,0.6760562658309937,256,0.6967741668224334,0.0,8,3
112,<function dropout at 0x7ff43089da60>,0.01,rect,0.6056337356567383,256,0.6548386812210083,0.0,16,3
113,<function dropout at 0x7ff43089da60>,0.01,rect,0.6197183132171631,256,0.6677418947219849,0.0,32,3
114,<function dropout at 0x7ff43089da60>,0.01,rect,0.7464789152145386,256,0.7161290168762205,0.5,2,3
115,<function dropout at 0x7ff43089da60>,0.01,rect,0.7887323498725891,256,0.6548386871814729,0.5,3,3
116,<function dropout at 0x7ff43089da60>,0.01,rect,0.7323943376541138,256,0.6612902879714966,0.5,4,3
117,<function dropout at 0x7ff43089da60>,0.01,rect,0.6338028311729431,256,0.5677419126033784,0.5,8,3
118,<function dropout at 0x7ff43089da60>,0.01,rect,0.5211266875267029,256,0.5225806295871736,0.5,16,3
119,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253017425537,256,0.5806451439857484,0.5,32,3
120,<function dropout at 0x7ff43089da60>,0.01,rect,0.6760563850402832,512,0.6645160913467407,0.0,2,3
121,<function dropout at 0x7ff43089da60>,0.01,rect,0.6056337952613831,512,0.6870967507362366,0.0,3,3
122,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253613471985,512,0.6645161092281342,0.0,4,3
123,<function dropout at 0x7ff43089da60>,0.01,rect,0.6056337952613831,512,0.6645160913467407,0.0,8,3
124,<function dropout at 0x7ff43089da60>,0.01,rect,0.6619718074798584,512,0.6258064389228821,0.0,16,3
125,<function dropout at 0x7ff43089da60>,0.01,rect,0.6478872299194336,512,0.6193548142910004,0.0,32,3
126,<function dropout at 0x7ff43089da60>,0.01,rect,0.7323943376541138,512,0.7096773982048035,0.5,2,3
127,<function dropout at 0x7ff43089da60>,0.01,rect,0.7323943972587585,512,0.6903225481510162,0.5,3,3
128,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253613471985,512,0.6451612710952759,0.5,4,3
129,<function dropout at 0x7ff43089da60>,0.01,rect,0.7605633735656738,512,0.5645161032676698,0.5,8,3
130,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253017425537,512,0.5806451439857484,0.5,16,3
131,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253017425537,512,0.5806451439857484,0.5,32,3
132,<function dropout at 0x7ff43089da60>,0.01,rect,0.7323943972587585,1024,0.6935483574867248,0.0,2,3
133,<function dropout at 0x7ff43089da60>,0.01,rect,0.7183098793029785,1024,0.6548386752605438,0.0,3,3
134,<function dropout at 0x7ff43089da60>,0.01,rect,0.6760563254356384,1024,0.6516128778457642,0.0,4,3
135,<function dropout at 0x7ff43089da60>,0.01,rect,0.6197182536125183,1024,0.6612903058528901,0.0,8,3
136,<function dropout at 0x7ff43089da60>,0.01,rect,0.577464759349823,1024,0.683870929479599,0.0,16,3
137,<function dropout at 0x7ff43089da60>,0.01,rect,0.6760562658309937,1024,0.6677419006824494,0.0,32,3
138,<function dropout at 0x7ff43089da60>,0.01,rect,0.7183098793029785,1024,0.6806451380252838,0.5,2,3
139,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253613471985,1024,0.6741935193538666,0.5,3,3
140,<function dropout at 0x7ff43089da60>,0.01,rect,0.6901408433914185,1024,0.6645161092281342,0.5,4,3
141,<function dropout at 0x7ff43089da60>,0.01,rect,0.6760563850402832,1024,0.5903225600719453,0.5,8,3
142,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253017425537,1024,0.5806451439857484,0.5,16,3
143,<function dropout at 0x7ff43089da60>,0.01,rect,0.7042253017425537,1024,0.5806451439857484,0.5,32,3
