"dataset","testAccuracy","blockForm","nhidden","nblocks","bottleneck","valAccuracy","learningrate"
"chess-krvk",0.0996578186750412,"rect",512,3,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,3,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,3,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,3,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,3,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,3,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,2,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,2,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,2,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,2,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",512,2,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,2,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,2,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,2,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,2,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,2,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,16,0.25,0.102066382020712,1
"chess-krvk",0.0996578186750412,"diavolo",512,16,0.25,0.102066382020712,1
"chess-krvk",0.0996578186750412,"rect",512,8,0.25,0.102066382020712,1
"chess-krvk",0.0996578186750412,"rect",256,8,0.25,0.102066382020712,1
"chess-krvk",0.0996578186750412,"rect",256,8,0.5,0.102066382020712,1
"chess-krvk",0.0996578186750412,"rect",1024,4,0.5,0.102066382020712,1
"chess-krvk",0.0996578186750412,"rect",512,4,0.5,0.102066382020712,1
"chess-krvk",0.0996578186750412,"diavolo",256,4,0.5,0.102066382020712,1
"chess-krvk",0.0996578186750412,"diavolo",256,3,0.5,0.102066382020712,1
"chess-krvk",0.0996578186750412,"diavolo",1024,4,0.5,0.102066381275654,1
"chess-krvk",0.0996578261256218,"rect",512,4,0.25,0.102066381275654,1
"chess-krvk",0.0996578186750412,"diavolo",512,4,0.25,0.102066381275654,1
"chess-krvk",0.0996578186750412,"rect",512,2,0.25,0.102066381275654,1
"chess-krvk",0.0996578186750412,"diavolo",256,2,0.5,0.102066381275654,1
"chess-krvk",0.0996578186750412,"diavolo",512,8,0.25,0.102066381275654,1
