"dataset","nhidden","testAccuracy","bottleneck","learningrate","valAccuracy","nblocks","blockForm"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.182231394946575,8,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.181818178296089,2,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.181818176805973,2,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.181818175315857,4,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.181818175315857,2,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.181818173825741,4,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.181818173825741,2,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.181818172335625,2,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.181818172335625,4,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.181404946744442,8,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.17148759663105,2,"rect"
"cardiotocography-10clases",1024,0.180790945887566,0.25,1,0.171487593650818,3,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421485066414,2,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421483576298,3,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421483576298,16,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,0.1,0.169421482086182,16,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421482086182,16,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421482086182,4,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421482086182,3,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.25,0.1,0.169421480596066,16,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421480596066,8,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421480596066,8,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421480596066,8,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421480596066,8,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421480596066,8,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421480596066,4,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421480596066,3,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421480596066,2,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421479105949,16,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421479105949,16,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421479105949,16,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421479105949,16,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421479105949,16,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421479105949,16,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.169421479105949,16,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421479105949,8,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421479105949,4,"diavolo"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.169421479105949,4,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.5,1,0.169421479105949,4,"rect"
"cardiotocography-10clases",256,0.180790975689888,0.5,1,0.169421479105949,4,"diavolo"
"cardiotocography-10clases",1024,0.180790960788727,0.5,1,0.169421479105949,3,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.169421479105949,3,"rect"
"cardiotocography-10clases",1024,0.180790960788727,0.25,1,0.169421479105949,2,"rect"
