"dataset","nhidden","nblocks","valAccuracy","blockForm","testAccuracy","learningrate","bottleneck"
"ilpd-indian-liver",256,8,0.714285790920257,"rect",0.719178080558777,0.01,0.5
"ilpd-indian-liver",1024,8,0.714285790920257,"rect",0.719178080558777,0.1,0.25
"ilpd-indian-liver",1024,8,0.714285790920257,"diavolo",0.719178080558777,0.1,0.25
"ilpd-indian-liver",1024,8,0.714285790920257,"diavolo",0.719178080558777,0.1,0.5
"ilpd-indian-liver",512,8,0.714285790920257,"rect",0.719178080558777,0.1,0.25
"ilpd-indian-liver",512,8,0.714285790920257,"rect",0.719178020954132,0.1,0.5
"ilpd-indian-liver",512,8,0.714285790920257,"diavolo",0.719178080558777,0.1,0.5
"ilpd-indian-liver",256,8,0.714285790920257,"diavolo",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,8,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,8,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,8,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,8,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",512,8,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",512,8,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",512,8,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",512,8,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,8,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",256,8,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",256,8,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",256,8,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,4,0.714285790920257,"diavolo",0.719178020954132,0.01,0.25
"ilpd-indian-liver",1024,4,0.714285790920257,"rect",0.719178080558777,0.1,0.25
"ilpd-indian-liver",1024,4,0.714285790920257,"rect",0.719178080558777,0.1,0.5
"ilpd-indian-liver",512,4,0.714285790920257,"rect",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,4,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,4,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,4,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,4,0.714285790920257,"diavolo",0.719178020954132,1,0.5
"ilpd-indian-liver",512,4,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",512,4,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",512,4,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",512,4,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,4,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",256,4,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",256,4,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",256,4,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",1024,3,0.714285790920257,"rect",0.719178020954132,0.1,0.25
"ilpd-indian-liver",1024,3,0.714285790920257,"rect",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,3,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,3,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,3,0.714285790920257,"diavolo",0.719178080558777,1,0.25
"ilpd-indian-liver",1024,3,0.714285790920257,"diavolo",0.719178020954132,1,0.5
"ilpd-indian-liver",512,3,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",512,3,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",512,3,0.714285790920257,"diavolo",0.719178020954132,1,0.25
