"dataset","nhidden","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","blockForm"
"statlog-landsat",512,0.22616408765316,4,1,0.5,0.230500012636185,"rect"
"statlog-landsat",512,0.22616408765316,4,1,0.5,0.230499997735023,"diavolo"
"statlog-landsat",256,0.22616408765316,4,1,0.25,0.230499997735023,"rect"
"statlog-landsat",256,0.22616408765316,4,1,0.25,0.230500012636185,"diavolo"
"statlog-landsat",256,0.22616408765316,4,1,0.5,0.230500012636185,"rect"
"statlog-landsat",256,0.22616408765316,4,1,0.5,0.230499997735023,"diavolo"
"statlog-landsat",1024,0.22616408765316,3,1,0.25,0.230499997735023,"rect"
"statlog-landsat",1024,0.22616408765316,3,1,0.25,0.230499997735023,"diavolo"
"statlog-landsat",1024,0.22616408765316,3,1,0.5,0.230500012636185,"rect"
"statlog-landsat",1024,0.22616408765316,3,1,0.5,0.230500012636185,"diavolo"
"statlog-landsat",512,0.22616408765316,3,1,0.25,0.230499997735023,"rect"
"statlog-landsat",512,0.22616408765316,3,1,0.25,0.230499997735023,"diavolo"
"statlog-landsat",512,0.22616408765316,3,1,0.5,0.230499997735023,"rect"
"statlog-landsat",512,0.22616408765316,3,1,0.5,0.230500012636185,"diavolo"
"statlog-landsat",256,0.22616408765316,3,1,0.25,0.230500012636185,"rect"
"statlog-landsat",256,0.22616408765316,3,1,0.25,0.230500012636185,"diavolo"
"statlog-landsat",256,0.22616408765316,3,1,0.5,0.230499997735023,"rect"
"statlog-landsat",256,0.22616408765316,3,1,0.5,0.230499997735023,"diavolo"
"statlog-landsat",1024,0.22616408765316,2,1,0.25,0.230500012636185,"rect"
"statlog-landsat",1024,0.22616408765316,2,1,0.25,0.230499997735023,"diavolo"
"statlog-landsat",1024,0.22616408765316,2,1,0.5,0.230500012636185,"rect"
"statlog-landsat",1024,0.22616408765316,2,1,0.5,0.230500012636185,"diavolo"
"statlog-landsat",512,0.22616408765316,2,1,0.25,0.230499997735023,"rect"
"statlog-landsat",512,0.22616408765316,2,1,0.25,0.230499997735023,"diavolo"
"statlog-landsat",512,0.22616408765316,2,1,0.5,0.230499997735023,"rect"
"statlog-landsat",512,0.22616408765316,2,1,0.5,0.230499997735023,"diavolo"
"statlog-landsat",256,0.22616408765316,2,1,0.25,0.230500012636185,"rect"
"statlog-landsat",256,0.22616408765316,2,1,0.25,0.230499997735023,"diavolo"
"statlog-landsat",256,0.22616408765316,2,1,0.5,0.230499997735023,"rect"
"statlog-landsat",256,0.22616408765316,2,1,0.5,0.230499997735023,"diavolo"
