"dataset","testAccuracy","bottleneck","nhidden","nblocks","blockForm","learningrate","valAccuracy"
"parkinsons",0.244897961616516,0.25,1024,3,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,1024,3,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,512,3,"rect",1,0.346153891086578
"parkinsons",0.244897961616516,0.25,256,3,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,256,3,"rect",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,1024,2,"rect",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,1024,2,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.25,256,2,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,256,2,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.25,512,4,"diavolo",1,0.346153885126114
"parkinsons",0.244897961616516,0.5,512,16,"diavolo",1,0.334615424275398
"parkinsons",0.244897961616516,0.5,1024,16,"diavolo",0.1,0.32692312002182
"parkinsons",0.244897961616516,0.25,512,8,"diavolo",1,0.323076963424683
"parkinsons",0.244897961616516,0.5,1024,8,"diavolo",1,0.32307696044445
"parkinsons",0.244897961616516,0.5,512,4,"diavolo",1,0.319230809807777
"parkinsons",0.244897961616516,0.5,512,8,"diavolo",1,0.315384656190872
"parkinsons",0.244897961616516,0.25,256,8,"diavolo",1,0.311538499593735
"parkinsons",0.244897961616516,0.25,1024,4,"diavolo",1,0.311538499593735
"parkinsons",0.244897961616516,0.25,1024,16,"rect",0.1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,16,"rect",0.1,0.307692348957062
"parkinsons",0.244897961616516,0.25,1024,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,1024,16,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,16,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,16,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,512,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,256,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,256,16,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,256,16,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,256,16,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,1024,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,1024,8,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,512,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,256,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,256,8,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,4,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,4,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,256,4,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,1024,3,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,3,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.5,512,3,"diavolo",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,256,3,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,1024,2,"rect",1,0.307692348957062
"parkinsons",0.244897961616516,0.25,512,2,"rect",1,0.307692348957062
