"dataset","valAccuracy","nhidden","bottleneck","nblocks","blockForm","learningrate","testAccuracy"
"lymphography",0.192857147753239,1024,0.25,16,"diavolo",0.1,0
"lymphography",0.185714294761419,256,0.25,4,"rect",1,0
"lymphography",0.185714294761419,256,0.25,4,"diavolo",1,0
"lymphography",0.178571437299252,512,0.5,2,"diavolo",1,0
"lymphography",0.157142863422632,256,0.5,4,"diavolo",1,0
"lymphography",0.157142859697342,512,0.25,4,"rect",1,0
"lymphography",0.157142859697342,512,0.25,3,"diavolo",1,0
"lymphography",0.157142859697342,256,0.5,3,"diavolo",1,0
"lymphography",0.150000009685755,256,0.5,4,"rect",1,0
"lymphography",0.150000005960465,1024,0.5,3,"rect",1,0
"lymphography",0.150000005960465,256,0.5,3,"rect",1,0
"lymphography",0.150000005960465,512,0.5,2,"rect",1,0
"lymphography",0.150000005960465,256,0.5,2,"rect",1,0
"lymphography",0.142857152223587,1024,0.5,3,"diavolo",1,0
"lymphography",0.142857152223587,512,0.5,3,"diavolo",1,0
"lymphography",0.142857152223587,256,0.25,3,"rect",1,0
"lymphography",0.142857152223587,1024,0.25,2,"rect",1,0
"lymphography",0.142857152223587,256,0.25,2,"rect",1,0
"lymphography",0.128571435809135,256,0.5,2,"diavolo",1,0
"lymphography",0.1142857208848,1024,0.5,16,"diavolo",0.1,0
"lymphography",0.11428571715951,512,0.5,16,"rect",0.1,0
"lymphography",0.11428571715951,1024,0.5,4,"diavolo",1,0
"lymphography",0.11428571715951,1024,0.25,3,"rect",1,0
"lymphography",0.11428571715951,1024,0.25,2,"diavolo",1,0
"lymphography",0.107142863422632,256,0.25,3,"diavolo",1,0
"lymphography",0.107142863422632,1024,0.25,4,"rect",1,0
"lymphography",0.107142863422632,1024,0.25,3,"diavolo",1,0
"lymphography",0.107142859697342,512,0.5,3,"rect",1,0
"lymphography",0.100000005960464,256,0.5,8,"diavolo",1,0
"lymphography",0.100000005960464,512,0.25,3,"rect",1,0
"lymphography",0.10000000372529,512,0.5,4,"diavolo",1,0
"lymphography",0.0928571470081806,256,0.25,16,"diavolo",1,0
"lymphography",0.0785714320838451,512,0.25,16,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.25,16,"rect",0.1,0
"lymphography",0.0714285746216774,1024,0.5,16,"rect",0.1,0
"lymphography",0.0714285746216774,512,0.25,16,"rect",0.1,0
"lymphography",0.0714285746216774,512,0.5,16,"diavolo",0.1,0
"lymphography",0.0714285746216774,1024,0.25,16,"rect",1,0
"lymphography",0.0714285746216774,1024,0.25,16,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.5,16,"rect",1,0
"lymphography",0.0714285746216774,1024,0.5,16,"diavolo",1,0
"lymphography",0.0714285746216774,512,0.25,16,"rect",1,0
"lymphography",0.0714285746216774,512,0.5,16,"rect",1,0
"lymphography",0.0714285746216774,512,0.5,16,"diavolo",1,0
"lymphography",0.0714285746216774,256,0.25,16,"rect",1,0
"lymphography",0.0714285746216774,256,0.5,16,"rect",1,0
"lymphography",0.0714285746216774,256,0.5,16,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.25,8,"rect",1,0
"lymphography",0.0714285746216774,1024,0.25,8,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.5,8,"rect",1,0
"lymphography",0.0714285746216774,1024,0.5,8,"diavolo",1,0
"lymphography",0.0714285746216774,512,0.25,8,"rect",1,0
"lymphography",0.0714285746216774,512,0.25,8,"diavolo",1,0
"lymphography",0.0714285746216774,512,0.5,8,"rect",1,0
"lymphography",0.0714285746216774,512,0.5,8,"diavolo",1,0
"lymphography",0.0714285746216774,256,0.25,8,"rect",1,0
"lymphography",0.0714285746216774,256,0.25,8,"diavolo",1,0
"lymphography",0.0714285746216774,256,0.5,8,"rect",1,0
"lymphography",0.0714285746216774,1024,0.25,4,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.5,4,"rect",1,0
"lymphography",0.0714285746216774,512,0.25,4,"diavolo",1,0
"lymphography",0.0714285746216774,1024,0.5,2,"rect",1,0
"lymphography",0.0714285746216774,1024,0.5,2,"diavolo",1,0
