"dataset","nblocks","bottleneck","valAccuracy","learningrate","blockForm","testAccuracy","nhidden"
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,0.1,"diavolo",0.0909090861678123,1024
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,0.1,"rect",0.0909090936183929,512
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"rect",0.0909090861678123,1024
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"diavolo",0.0909090936183929,1024
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"rect",0.0909090861678123,1024
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"diavolo",0.0909090861678123,1024
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"rect",0.0909090861678123,512
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"diavolo",0.0909090861678123,512
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"rect",0.0909090936183929,512
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"diavolo",0.0909090861678123,512
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"rect",0.0909090936183929,256
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,1,"diavolo",0.0909090861678123,256
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"rect",0.0909090861678123,256
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,1,"diavolo",0.0909090861678123,256
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,0.1,"rect",0.0909090861678123,1024
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"rect",0.0909090861678123,1024
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"diavolo",0.0909090936183929,1024
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"rect",0.0909090936183929,1024
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"diavolo",0.0909090936183929,1024
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"rect",0.0909090936183929,512
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"diavolo",0.0909090861678123,512
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"rect",0.0909090861678123,512
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"diavolo",0.0909090861678123,512
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"rect",0.0909090936183929,256
"conn-bench-vowel-deterding",8,0.25,0.148514851927757,1,"diavolo",0.0909090861678123,256
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"rect",0.0909090936183929,256
"conn-bench-vowel-deterding",8,0.5,0.148514851927757,1,"diavolo",0.0909090861678123,256
"conn-bench-vowel-deterding",4,0.25,0.148514851927757,1,"rect",0.0909090861678123,1024
