"dataset","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy","nhidden"
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,0.1,0.670588254928589,0.717948794364929,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.1,0.670588254928589,0.717948794364929,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,0.1,0.670588254928589,0.717948794364929,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.1,0.670588254928589,0.717948794364929,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.01,0.670588254928589,0.717948794364929,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.1,0.670588254928589,0.717948794364929,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.1,0.670588254928589,0.717948794364929,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,0.1,0.670588254928589,0.717948794364929,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,0.01,0.670588254928589,0.717094087600708,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.1,0.670588254928589,0.714529991149902,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,0.01,0.705882370471954,0.71452996134758,512
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.01,0.670588254928589,0.713675272464752,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.1,0.713725507259369,0.71196585893631,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,0.01,0.682352960109711,0.711111152172089,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.01,0.709803938865662,0.711111146211624,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,0.1,0.725490212440491,0.709401762485504,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.01,0.745098054409027,0.707692337036133,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,0.01,0.501960813999176,0.705982959270477,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.1,0.670588254928589,0.705128264427185,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,0.01,0.682352960109711,0.705128252506256,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,0.01,0.701960802078247,0.704273557662964,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,0.01,0.686274528503418,0.695726555585861,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",16,0.01,0.678431391716003,0.694017153978348,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,0.1,0.713725507259369,0.693162447214126,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,0.01,0.701960802078247,0.692307764291763,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",3,0.01,0.678431391716003,0.69230774641037,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.1,0.74117648601532,0.6897436439991,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.01,0.674509823322296,0.687179517745972,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,0.01,0.658823549747467,0.681196647882461,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,0.01,0.69803923368454,0.680341935157776,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,0.01,0.678431391716003,0.676923143863678,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,0.01,0.635294139385223,0.670085513591766,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,0.01,0.584313750267029,0.659829115867615,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,0.01,0.682352960109711,0.657265001535416,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,0.01,0.674509823322296,0.653846204280853,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,0.01,0.639215707778931,0.638461595773697,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,0.01,0.61176472902298,0.633333367109299,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,0.01,0.650980412960052,0.631623989343643,1024
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,0.01,0.615686297416687,0.588888949155807,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",8,0.01,0.443137288093567,0.578632551431656,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,0.01,0.423529416322708,0.541880404949188,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,0.1,0.670588254928589,0.500000059604645,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",3,0.01,0.470588266849518,0.472649621963501,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,0.1,0.329411774873734,0.412820565700531,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,1,0.329411774873734,0.412820565700531,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.1,0.329411774873734,0.375213724374771,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,1,0.329411774873734,0.369230818748474,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",3,1,0.329411774873734,0.369230818748474,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,1,0.329411774873734,0.369230818748474,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,1,0.329411774873734,0.369230818748474,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,1,0.329411774873734,0.369230818748474,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",3,1,0.329411774873734,0.360683810710907,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,1,0.329411774873734,0.358119708299637,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.1,0.372549027204514,0.337606883049011,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,1,0.329411774873734,0.334188079833984,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,0.1,0.670588254928589,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,1,0.329411774873734,0.325641071796417,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,1,0.329411774873734,0.325641071796417,1024
