"dataset","bottleneck","nhidden","nblocks","learningrate","valAccuracy","blockForm","testAccuracy"
"conn-bench-sonar-mines-rocks",0.25,1024,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,4,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,4,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,3,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,3,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,2,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,2,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,16,0.1,0.514814805984497,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,8,0.1,0.514814805984497,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,16,0.1,0.511111104488373,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,8,0.1,0.511111104488373,"diavolo",0.46153849363327
"conn-bench-sonar-mines-rocks",0.25,1024,3,0.1,0.511111104488373,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,8,0.1,0.507407402992249,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,16,0.1,0.500000005960465,"diavolo",0.46153849363327
"conn-bench-sonar-mines-rocks",0.25,1024,4,0.1,0.5,"rect",0.46153849363327
"conn-bench-sonar-mines-rocks",0.5,1024,4,0.1,0.5,"rect",0.46153849363327
