"dataset","bottleneck","valAccuracy","blockForm","nblocks","nhidden","learningrate","testAccuracy"
"annealing",0.5,0.0125000002793968,"diavolo",8,512,1,0
"annealing",0.5,0.0125000002793968,"diavolo",8,256,1,0
"annealing",0.25,0.0119047621265054,"rect",16,1024,1,0
"annealing",0.5,0.0119047621265054,"rect",16,1024,1,0
"annealing",0.5,0.0119047621265054,"diavolo",16,1024,1,0
"annealing",0.25,0.0119047621265054,"rect",16,512,1,0
"annealing",0.25,0.0119047621265054,"diavolo",16,512,1,0
"annealing",0.5,0.0119047621265054,"rect",16,512,1,0
"annealing",0.5,0.0119047621265054,"diavolo",16,512,1,0
"annealing",0.25,0.0119047621265054,"rect",16,256,1,0
"annealing",0.5,0.0119047621265054,"rect",16,256,1,0
"annealing",0.25,0.0119047621265054,"rect",8,1024,1,0
"annealing",0.25,0.0119047621265054,"diavolo",8,1024,1,0
"annealing",0.5,0.0119047621265054,"rect",8,1024,1,0
"annealing",0.25,0.0119047621265054,"rect",8,512,1,0
"annealing",0.25,0.0119047621265054,"diavolo",8,512,1,0
"annealing",0.5,0.0119047621265054,"rect",8,512,1,0
"annealing",0.25,0.0119047621265054,"rect",8,256,1,0
"annealing",0.5,0.0119047621265054,"rect",8,256,1,0
