"dataset","testAccuracy","nhidden","nblocks","bottleneck","valAccuracy","blockForm","learningrate"
"plant-texture",0.00999999977648258,256,16,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,8,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,8,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,8,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,8,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,8,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,8,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,8,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,8,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,8,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,8,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,8,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,8,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,4,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,4,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,4,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,4,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,4,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,4,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,4,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,4,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,4,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,4,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,4,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,3,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,3,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,3,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,3,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,3,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,3,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,3,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,3,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,3,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,3,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,2,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,2,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,1024,2,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,2,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,2,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,2,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,2,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,2,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,2,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,2,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,16,0.5,0.0140703516080976,"diavolo",0.1
