"dataset","nhidden","testAccuracy","valAccuracy","learningrate","nblocks","blockForm","bottleneck"
"car",512,0.84027773141861,0.820212763547898,0.01,16,"rect",0.25
"car",512,0.782407402992249,0.820212745666504,0.01,3,"rect",0.5
"car",512,0.814814805984497,0.819148933887482,0.01,3,"diavolo",0.25
"car",1024,0.800925850868225,0.818085098266602,0.01,3,"diavolo",0.25
"car",512,0.775462925434113,0.817021262645722,0.1,8,"rect",0.25
"car",256,0.8125,0.81382976770401,0.01,4,"rect",0.25
"car",1024,0.826388895511627,0.811702126264572,0.01,16,"diavolo",0.25
"car",256,0.78935182094574,0.811170214414597,0.01,8,"diavolo",0.5
"car",256,0.82407408952713,0.810106354951858,0.01,3,"diavolo",0.25
"car",1024,0.803240835666656,0.808510637283325,0.01,16,"diavolo",0.5
"car",256,0.747685134410858,0.804255348443985,0.01,8,"diavolo",0.25
"car",512,0.803240776062012,0.797872358560562,0.01,16,"diavolo",0.25
"car",1024,0.8125,0.797872316837311,0.01,8,"diavolo",0.25
"car",1024,0.805555582046509,0.792021280527115,0.01,8,"diavolo",0.5
"car",1024,0.810185194015503,0.787234026193619,0.01,4,"diavolo",0.25
"car",256,0.803240776062012,0.786170202493668,0.01,16,"rect",0.25
"car",512,0.789351940155029,0.785638266801834,0.01,3,"diavolo",0.5
"car",256,0.782407402992249,0.77712767124176,0.01,16,"diavolo",0.25
"car",1024,0.733796298503876,0.747340422868729,0.01,3,"diavolo",0.5
"car",1024,0.701388955116272,0.739361721277237,0.1,8,"diavolo",0.5
"car",1024,0.701388835906982,0.739361715316772,0.1,4,"rect",0.25
"car",512,0.701388955116272,0.739361709356308,0.1,16,"diavolo",0.5
"car",1024,0.701388955116272,0.739361703395843,0.1,16,"diavolo",0.25
"car",1024,0.701388955116272,0.739361703395843,0.1,16,"diavolo",0.5
"car",256,0.701388955116272,0.739361703395843,0.1,16,"rect",0.5
"car",256,0.701388955116272,0.739361703395843,0.01,2,"rect",0.25
"car",1024,0.724537074565887,0.73936168551445,0.01,4,"diavolo",0.5
"car",256,0.699074029922485,0.738297879695892,0.01,4,"diavolo",0.25
"car",512,0.761574029922485,0.735106366872787,0.01,4,"diavolo",0.5
"car",512,0.752314865589142,0.731383007764816,0.01,8,"diavolo",0.5
"car",1024,0.701388955116272,0.285638298839331,0.1,8,"rect",0.25
"car",256,0.0370370373129845,0.193085106834769,1,3,"diavolo",0.25
"car",512,0.0370370373129845,0.122872340679169,1,2,"rect",0.5
"car",256,0.0370370373129845,0.122872339189053,1,2,"rect",0.25
"car",256,0.0370370373129845,0.122872339189053,1,2,"rect",0.5
"car",1024,0.0370370373129845,0.118617019802332,0.1,8,"rect",0.5
"car",1024,0.0370370373129845,0.107446807995439,1,3,"diavolo",0.5
"car",512,0.0370370373129845,0.107446807995439,1,3,"rect",0.5
"car",1024,0.0370370373129845,0.107446807995439,1,2,"rect",0.5
"car",256,0.0370370373129845,0.0835106384009123,1,2,"diavolo",0.25
"car",512,0.0370370373129845,0.0829787224531174,1,2,"diavolo",0.5
"car",1024,0.0370370373129845,0.0680851072072983,1,3,"diavolo",0.25
"car",256,0.0370370373129845,0.0680851072072983,1,3,"rect",0.25
"car",256,0.0370370373129845,0.0680851072072983,1,2,"diavolo",0.5
"car",256,0.0370370373129845,0.0526595745235681,1,4,"rect",0.25
"car",1024,0.0370370373129845,0.0526595745235681,1,3,"rect",0.5
"car",512,0.0370370373129845,0.0526595745235681,1,3,"rect",0.25
"car",256,0.0370370373129845,0.0526595745235681,1,3,"rect",0.5
"car",256,0.0370370373129845,0.0526595745235681,1,3,"diavolo",0.5
