"dataset","learningrate","valAccuracy","nblocks","bottleneck","testAccuracy","blockForm","nhidden"
"magic",1,0.660351240634918,3,0.25,0.648370146751404,"diavolo",512
"magic",1,0.660351240634918,3,0.5,0.648370146751404,"diavolo",512
"magic",1,0.660351228713989,4,0.5,0.648370146751404,"diavolo",1024
"magic",1,0.660351228713989,4,0.25,0.648370146751404,"rect",512
"magic",1,0.660351228713989,3,0.5,0.648370146751404,"rect",1024
"magic",1,0.660351228713989,3,0.5,0.648370146751404,"diavolo",1024
"magic",1,0.660351228713989,3,0.25,0.648370146751404,"diavolo",256
"magic",1,0.660351228713989,2,0.25,0.648370146751404,"rect",1024
"magic",1,0.660351228713989,2,0.25,0.648370146751404,"diavolo",512
"magic",0.1,0.660351228713989,16,0.25,0.648370146751404,"rect",512
"magic",1,0.660351228713989,8,0.5,0.648370146751404,"rect",1024
"magic",1,0.66035121679306,16,0.5,0.648370146751404,"diavolo",512
"magic",1,0.66035121679306,16,0.25,0.648370146751404,"rect",256
"magic",1,0.66035121679306,8,0.25,0.648370146751404,"rect",1024
"magic",1,0.66035121679306,4,0.25,0.648370146751404,"diavolo",512
"magic",1,0.66035121679306,4,0.25,0.648370146751404,"rect",256
"magic",1,0.66035121679306,3,0.25,0.648370146751404,"rect",256
"magic",1,0.66035121679306,2,0.5,0.648370146751404,"rect",1024
"magic",1,0.66035121679306,2,0.5,0.648370146751404,"diavolo",1024
"magic",1,0.66035121679306,2,0.5,0.648370146751404,"diavolo",512
"magic",1,0.66035121679306,2,0.5,0.648370146751404,"diavolo",256
"magic",1,0.66035121679306,16,0.25,0.648370146751404,"rect",1024
"magic",1,0.66035121679306,16,0.25,0.648370146751404,"rect",512
"magic",1,0.66035121679306,3,0.5,0.648370146751404,"rect",256
"magic",1,0.66035121679306,2,0.5,0.648370146751404,"rect",512
"magic",1,0.66035121679306,2,0.25,0.648370146751404,"diavolo",256
"magic",0.1,0.660351204872132,16,0.5,0.648370146751404,"rect",1024
"magic",1,0.660351204872132,16,0.5,0.648370146751404,"rect",512
"magic",1,0.660351204872132,8,0.25,0.648370146751404,"rect",512
"magic",1,0.660351204872132,8,0.5,0.648370146751404,"rect",512
"magic",1,0.660351204872132,4,0.5,0.648370206356049,"rect",256
"magic",1,0.660351204872131,16,0.5,0.648370146751404,"rect",1024
"magic",1,0.660351204872131,8,0.5,0.648370146751404,"diavolo",256
"magic",1,0.660351204872131,3,0.25,0.648370146751404,"rect",512
"magic",1,0.660351192951203,4,0.25,0.648370146751404,"rect",1024
"magic",1,0.660351192951202,8,0.25,0.648370146751404,"diavolo",1024
"magic",1,0.660351192951202,2,0.25,0.648370146751404,"diavolo",1024
