"dataset","bottleneck","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy"
"haberman-survival",0.25,0.618421018123627,2,0.01,256,"diavolo",0.653125
"haberman-survival",0.25,0.736842095851898,16,0.1,1024,"diavolo",0.63125
"haberman-survival",0.5,0.473684221506119,16,0.01,256,"diavolo",0.61875
"haberman-survival",0.5,0.60526317358017,8,0.01,256,"rect",0.615625
"haberman-survival",0.25,0.526315808296204,4,0.01,256,"rect",0.609375
"haberman-survival",0.5,0.64473682641983,3,0.01,512,"rect",0.60625
"haberman-survival",0.5,0.736842095851898,16,0.1,256,"diavolo",0.5875
"haberman-survival",0.5,0.736842095851898,4,0.1,1024,"rect",0.5875
"haberman-survival",0.25,0.618421018123627,3,0.01,256,"diavolo",0.553125
"haberman-survival",0.25,0.263157904148102,16,0.1,512,"diavolo",0.54375
"haberman-survival",0.25,0.736842095851898,8,0.1,512,"rect",0.54375
"haberman-survival",0.5,0.736842095851898,8,0.1,512,"rect",0.54375
"haberman-survival",0.5,0.578947305679321,2,0.01,256,"rect",0.54375
"haberman-survival",0.5,0.64473682641983,3,0.01,256,"diavolo",0.540625
"haberman-survival",0.5,0.263157904148102,16,0.1,512,"diavolo",0.5
"haberman-survival",0.25,0.736842095851898,3,0.1,1024,"rect",0.5
"haberman-survival",0.5,0.565789461135864,3,0.01,512,"diavolo",0.48125
"haberman-survival",0.25,0.263157904148102,16,0.1,256,"rect",0.45625
"haberman-survival",0.5,0.263157904148102,16,0.1,256,"rect",0.45625
"haberman-survival",0.5,0.736842095851898,8,0.1,1024,"diavolo",0.45625
