"dataset","valAccuracy","bottleneck","blockForm","nblocks","nhidden","testAccuracy","learningrate"
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",16,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",16,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",16,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",16,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",16,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",16,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",16,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",16,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",16,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",16,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",16,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",16,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",8,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",8,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",8,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",8,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",8,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",8,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",8,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",8,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",8,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",8,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",8,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",8,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",4,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",4,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",4,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",4,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",4,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",4,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",3,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",3,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",3,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",3,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",3,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",3,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",2,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",2,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"diavolo",2,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",2,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"diavolo",2,256,0.15384615957737,1
