dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
teaching,151,5,CLASSIFICATION,snn_teaching,2.7548537254333496,0.3478260934352875,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
thyroid,7200,21,CLASSIFICATION,snn_thyroid,0.1102418028867566,0.974074074074074,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
tic-tac-toe,958,9,CLASSIFICATION,snn_tic-tac-toe,0.013166932869353332,0.9930555555555556,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
titanic,2201,3,CLASSIFICATION,snn_titanic,0.5303900448937431,0.7734138980012646,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
trains,10,29,CLASSIFICATION,snn_trains,0.5494240522384644,0.75,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
twonorm,7400,20,CLASSIFICATION,snn_twonorm,0.1852431808024815,0.9675675675675676,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
vertebral-column-2clases,310,6,CLASSIFICATION,snn_vertebral-column-2clases,0.386532335205281,0.8723404280682827,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
vertebral-column-3clases,310,6,CLASSIFICATION,snn_vertebral-column-3clases,0.791093128792783,0.8510638348599697,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wall-following,5456,24,CLASSIFICATION,snn_wall-following,0.7688720597452297,0.8400488396849534,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
waveform-noise,5000,40,CLASSIFICATION,snn_waveform-noise,0.2942471007506053,0.8759999995231629,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
waveform,5000,21,CLASSIFICATION,snn_waveform,0.2518020709355672,0.8973333328564962,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wine-quality-red,1599,11,CLASSIFICATION,snn_wine-quality-red,2.0799102783203125,0.5958333333333333,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine-quality-white,4898,11,CLASSIFICATION,snn_wine-quality-white,2.1608219354331086,0.6258503394872964,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine,178,13,CLASSIFICATION,snn_wine,0.05809105932712555,1.0,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
yeast,1484,8,CLASSIFICATION,snn_yeast,1.8982555705870212,0.4035874423424759,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
zoo,101,16,CLASSIFICATION,snn_zoo,0.5653254985809326,0.75,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
