dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
teaching,151,5,CLASSIFICATION,snn_teaching,1.1396404504776,0.5652173757553101,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
thyroid,7200,21,CLASSIFICATION,snn_thyroid,0.08177108701749132,0.9796296296296296,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
tic-tac-toe,958,9,CLASSIFICATION,snn_tic-tac-toe,0.0632851360585644,0.9861111111111112,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
titanic,2201,3,CLASSIFICATION,snn_titanic,0.5047197619233607,0.7854984892459074,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
trains,10,29,CLASSIFICATION,snn_trains,1.0341418981552124,0.5,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
twonorm,7400,20,CLASSIFICATION,snn_twonorm,0.212230710350263,0.9702702702702702,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
vertebral-column-2clases,310,6,CLASSIFICATION,snn_vertebral-column-2clases,0.5039471857091213,0.8510638323236019,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
vertebral-column-3clases,310,6,CLASSIFICATION,snn_vertebral-column-3clases,0.6469744038074574,0.6382978761449773,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wall-following,5456,24,CLASSIFICATION,snn_wall-following,0.3346064497918,0.9230769227130364,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
waveform-noise,5000,40,CLASSIFICATION,snn_waveform-noise,0.3232382137378057,0.8479999995231629,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
waveform,5000,21,CLASSIFICATION,snn_waveform,0.3034537273248037,0.8679999995231629,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wine-quality-red,1599,11,CLASSIFICATION,snn_wine-quality-red,1.6265148440996806,0.6541666666666667,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine-quality-white,4898,11,CLASSIFICATION,snn_wine-quality-white,2.315785575561783,0.6108843542280651,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine,178,13,CLASSIFICATION,snn_wine,0.05573953688144684,0.9629629850387572,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
yeast,1484,8,CLASSIFICATION,snn_yeast,2.070569914552663,0.3901345275442696,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
zoo,101,16,CLASSIFICATION,snn_zoo,0.31529223918914795,0.875,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
